#C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/extracted_cav/cav1m17_AQ4.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/EGFRfarma/egfrnofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav1m17_AQ4-2356153831-0.pdb	-89.4695	-80.2942	-9.17532	0	24.4
cav1m17_AQ4-2356156500-0.pdb	-92.1429	-74.6069	-17.536	0	19.6154
cav1m17_AQ4-2356169402-0.pdb	-98.7675	-68.0292	-30.7383	0	23.75
cav1m17_AQ4-2356170311-0.pdb	-87.8321	-67.3318	-20.5003	0	20.8696
cav1m17_AQ4-ZINC000000083743-0.pdb	-90.6559	-83.9318	-6.72412	0	20.64
cav1m17_AQ4-ZINC000000104097-0.pdb	-81.8478	-71.5572	-10.2906	0	22.3182
cav1m17_AQ4-ZINC000000144049-0.pdb	-86.198	-79.8856	-6.31237	0	25.5714
cav1m17_AQ4-ZINC000000183193-0.pdb	-87.9687	-81.1502	-6.81851	0	20.6
cav1m17_AQ4-ZINC000000195122-0.pdb	-89.693	-82.7728	-6.92028	0	19.8
cav1m17_AQ4-ZINC000000200574-0.pdb	-83.0184	-79.5184	-3.5	0	21.44
cav1m17_AQ4-ZINC000000200584-0.pdb	-89.959	-89.959	0	0	22.44
cav1m17_AQ4-ZINC000000245257-0.pdb	-85.0968	-74.2668	-10.8301	0	28.7778
cav1m17_AQ4-ZINC000000256336-0.pdb	-78.309	-76.7582	-1.55082	0	23.05
cav1m17_AQ4-ZINC000000320590-0.pdb	-92.9903	-80.334	-12.6563	0	20.2308
cav1m17_AQ4-ZINC000000320592-0.pdb	-82.4847	-74.5192	-7.96546	0	19.7083
cav1m17_AQ4-ZINC000000320594-0.pdb	-83.7209	-73.3912	-10.3297	0	23.68
cav1m17_AQ4-ZINC000000348947-0.pdb	-76.9162	-73.4162	-3.5	0	19.3043
cav1m17_AQ4-ZINC000000411487-0.pdb	-88.7446	-86.6424	-2.10222	0	22.0833
cav1m17_AQ4-ZINC000000426382-0.pdb	-82.6519	-79.1519	-3.5	0	19.12
cav1m17_AQ4-ZINC000000459730-0.pdb	-83.2862	-77.6434	-5.64274	0	28.8636
cav1m17_AQ4-ZINC000000521923-0.pdb	-86.8729	-77.1366	-9.73632	0	20.12
cav1m17_AQ4-ZINC000000554442-0.pdb	-90.5286	-80.1332	-10.3954	0	23.9048
cav1m17_AQ4-ZINC000000639677-0.pdb	-94.1257	-90.6257	-3.5	0	20.2593
cav1m17_AQ4-ZINC000000645447-0.pdb	-84.1816	-76.1746	-8.00698	0	19.6923
cav1m17_AQ4-ZINC000000648840-0.pdb	-94.1872	-86.7088	-7.47846	0	18.5313
cav1m17_AQ4-ZINC000000648974-0.pdb	-109.332	-107.399	-1.9333	0	20.7273
cav1m17_AQ4-ZINC000000648977-0.pdb	-100.462	-96.9624	-3.5	0	18.7273
cav1m17_AQ4-ZINC000000649085-0.pdb	-99.664	-93.0972	-6.56678	0	18.5429
cav1m17_AQ4-ZINC000000649086-0.pdb	-109.413	-96.4852	-12.9275	0	19.8235
cav1m17_AQ4-ZINC000000649089-0.pdb	-97.8604	-90.4662	-7.39426	0	17.5429
